DLTR_Date,DLTR_Close
1/25/2016 16:00:00,76.6
1/26/2016 16:00:00,77.69
1/27/2016 16:00:00,77.97
1/28/2016 16:00:00,78.91
1/29/2016 16:00:00,81.32
2/1/2016 16:00:00,81.98
2/2/2016 16:00:00,81.69
2/3/2016 16:00:00,79.59
2/4/2016 16:00:00,76.67
2/5/2016 16:00:00,76.56
2/8/2016 16:00:00,75.33
2/9/2016 16:00:00,75.24
2/10/2016 16:00:00,75.15
2/11/2016 16:00:00,73.43
2/12/2016 16:00:00,75.23
2/16/2016 16:00:00,78.55
2/17/2016 16:00:00,80.88
2/18/2016 16:00:00,79.29
2/19/2016 16:00:00,79.44
2/22/2016 16:00:00,81.67
2/23/2016 16:00:00,81.69
2/24/2016 16:00:00,81.65
2/25/2016 16:00:00,82.3
2/26/2016 16:00:00,81.63
2/29/2016 16:00:00,80.25
3/1/2016 16:00:00,82.03
3/2/2016 16:00:00,78.77
3/3/2016 16:00:00,77.45
3/4/2016 16:00:00,78.39
3/7/2016 16:00:00,76.82
3/8/2016 16:00:00,75.96
3/9/2016 16:00:00,76.73
3/10/2016 16:00:00,79.82
3/11/2016 16:00:00,80.02
3/14/2016 16:00:00,80.96
3/15/2016 16:00:00,81.18
3/16/2016 16:00:00,81.43
3/17/2016 16:00:00,80.42
3/18/2016 16:00:00,80.02
3/21/2016 16:00:00,80.46
3/22/2016 16:00:00,79.01
3/23/2016 16:00:00,78.96
3/24/2016 16:00:00,78.52
3/28/2016 16:00:00,80.84
3/29/2016 16:00:00,81.35
3/30/2016 16:00:00,83.2
3/31/2016 16:00:00,82.46
4/1/2016 16:00:00,83.31
4/4/2016 16:00:00,82.54
4/5/2016 16:00:00,80.4
4/6/2016 16:00:00,80.96
4/7/2016 16:00:00,80.64
4/8/2016 16:00:00,79.66
4/11/2016 16:00:00,78.91
4/12/2016 16:00:00,80.16
4/13/2016 16:00:00,80.43
4/14/2016 16:00:00,80.25
4/15/2016 16:00:00,81.75
4/18/2016 16:00:00,82.56
4/19/2016 16:00:00,82.72
4/20/2016 16:00:00,81.82
4/21/2016 16:00:00,81.9
4/22/2016 16:00:00,80.95
4/25/2016 16:00:00,80.92
4/26/2016 16:00:00,82.05
4/27/2016 16:00:00,82.07
4/28/2016 16:00:00,80.07
4/29/2016 16:00:00,79.71
5/2/2016 16:00:00,80.88
5/3/2016 16:00:00,80.61
5/4/2016 16:00:00,80.61
5/5/2016 16:00:00,80.62
5/6/2016 16:00:00,81.19
5/9/2016 16:00:00,82.11
5/10/2016 16:00:00,81.69
5/11/2016 16:00:00,79.03
5/12/2016 16:00:00,80.29
5/13/2016 16:00:00,77.63
5/16/2016 16:00:00,80.03
5/17/2016 16:00:00,77.51
5/18/2016 16:00:00,75.33
5/19/2016 16:00:00,76.91
5/20/2016 16:00:00,76.89
5/23/2016 16:00:00,75.56
5/24/2016 16:00:00,77.53
5/25/2016 16:00:00,78.36
5/26/2016 16:00:00,88.37
5/27/2016 16:00:00,88.94
5/31/2016 16:00:00,90.54
6/1/2016 16:00:00,90.81
6/2/2016 16:00:00,91.05
6/3/2016 16:00:00,91.08
6/6/2016 16:00:00,90.62
6/7/2016 16:00:00,91.25
6/8/2016 16:00:00,91.57
6/9/2016 16:00:00,91.97
6/10/2016 16:00:00,91.34
6/13/2016 16:00:00,90.17
6/14/2016 16:00:00,90.05
6/15/2016 16:00:00,91.05
6/16/2016 16:00:00,91.84
6/17/2016 16:00:00,91.58
6/20/2016 16:00:00,92.48
6/21/2016 16:00:00,92.63
6/22/2016 16:00:00,91.92
6/23/2016 16:00:00,92.38
6/24/2016 16:00:00,91.89
6/27/2016 16:00:00,92.56
6/28/2016 16:00:00,92.31
6/29/2016 16:00:00,94.42
6/30/2016 16:00:00,94.24
7/1/2016 16:00:00,93.78
7/5/2016 16:00:00,94.98
7/6/2016 16:00:00,94.86
7/7/2016 16:00:00,94.63
7/8/2016 16:00:00,95.08
7/11/2016 16:00:00,94.87
7/12/2016 16:00:00,94.44
7/13/2016 16:00:00,94.36
7/14/2016 16:00:00,95
7/15/2016 16:00:00,94.34
7/18/2016 16:00:00,95.73
7/19/2016 16:00:00,95.36
7/20/2016 16:00:00,95.45
7/21/2016 16:00:00,94.66
7/22/2016 16:00:00,96.13
7/25/2016 16:00:00,96.39
7/26/2016 16:00:00,96.65
7/27/2016 16:00:00,95.72
7/28/2016 16:00:00,96.12
7/29/2016 16:00:00,96.29
8/1/2016 16:00:00,97.1
8/2/2016 16:00:00,96.23
8/3/2016 16:00:00,96.77
8/4/2016 16:00:00,96.07
8/5/2016 16:00:00,97.02
8/8/2016 16:00:00,95.9
8/9/2016 16:00:00,95.95
8/10/2016 16:00:00,98.12
8/11/2016 16:00:00,97.37
8/12/2016 16:00:00,96.28
8/15/2016 16:00:00,96.26
8/16/2016 16:00:00,95.51
8/17/2016 16:00:00,95.49
8/18/2016 16:00:00,95.86
8/19/2016 16:00:00,95.57
8/22/2016 16:00:00,95.76
8/23/2016 16:00:00,95.51
8/24/2016 16:00:00,94.93
8/25/2016 16:00:00,85.5
8/26/2016 16:00:00,85.5
8/29/2016 16:00:00,85.53
8/30/2016 16:00:00,84.11
8/31/2016 16:00:00,82.7
9/1/2016 16:00:00,83.18
9/2/2016 16:00:00,83.11
9/6/2016 16:00:00,83.28
9/7/2016 16:00:00,82.5
9/8/2016 16:00:00,81.84
9/9/2016 16:00:00,81.63
9/12/2016 16:00:00,82.38
9/13/2016 16:00:00,80.18
9/14/2016 16:00:00,81.45
9/15/2016 16:00:00,81.99
9/16/2016 16:00:00,81.1
9/19/2016 16:00:00,80.22
9/20/2016 16:00:00,79.7
9/21/2016 16:00:00,79.89
9/22/2016 16:00:00,80.07
9/23/2016 16:00:00,80.09
9/26/2016 16:00:00,80
9/27/2016 16:00:00,80.46
9/28/2016 16:00:00,79.4
9/29/2016 16:00:00,77.36
9/30/2016 16:00:00,78.93
10/3/2016 16:00:00,79.53
10/4/2016 16:00:00,76.43
10/5/2016 16:00:00,75.12
10/6/2016 16:00:00,78.09
10/7/2016 16:00:00,77.97
10/10/2016 16:00:00,77.92
10/11/2016 16:00:00,77.24
10/12/2016 16:00:00,77.47
10/13/2016 16:00:00,78.23
10/14/2016 16:00:00,77.09
10/17/2016 16:00:00,76.44
10/18/2016 16:00:00,76.25
10/19/2016 16:00:00,76.76
10/20/2016 16:00:00,75.87
10/21/2016 16:00:00,75.71
10/24/2016 16:00:00,75.97
10/25/2016 16:00:00,75.82
10/26/2016 16:00:00,76.8
10/27/2016 16:00:00,74.45
10/28/2016 16:00:00,75.21
10/31/2016 16:00:00,75.55
11/1/2016 16:00:00,74.88
11/2/2016 16:00:00,75.36
11/3/2016 16:00:00,74.07
11/4/2016 16:00:00,73.62
11/7/2016 16:00:00,75.54
11/8/2016 16:00:00,75.81
11/9/2016 16:00:00,76.04
11/10/2016 16:00:00,77.2
11/11/2016 16:00:00,77.81
11/14/2016 16:00:00,78.34
11/15/2016 16:00:00,79.17
11/16/2016 16:00:00,80.54
11/17/2016 16:00:00,81.65
11/18/2016 16:00:00,81.91
11/21/2016 16:00:00,81.99
11/22/2016 16:00:00,88.68
11/23/2016 16:00:00,88.86
11/25/2016 16:00:00,89.18
11/28/2016 16:00:00,89.58
11/29/2016 16:00:00,89.67
11/30/2016 16:00:00,88.16
12/1/2016 16:00:00,86.57
12/2/2016 16:00:00,87.76
12/5/2016 16:00:00,88.2
12/6/2016 16:00:00,87.93
12/7/2016 16:00:00,87.84
12/8/2016 16:00:00,87.12
12/9/2016 16:00:00,87.76
12/12/2016 16:00:00,86.09
12/13/2016 16:00:00,86.16
12/14/2016 16:00:00,84.72
12/15/2016 16:00:00,85.7
12/16/2016 16:00:00,84.2
12/19/2016 16:00:00,84.27
12/20/2016 16:00:00,85.09
12/21/2016 16:00:00,84.06
12/22/2016 16:00:00,79.31
12/23/2016 16:00:00,78.7
12/27/2016 16:00:00,78.12
12/28/2016 16:00:00,77.67
12/29/2016 16:00:00,77.34
12/30/2016 16:00:00,77.18
1/3/2017 16:00:00,77.45
1/4/2017 16:00:00,79.45
1/5/2017 16:00:00,78.06
1/6/2017 16:00:00,77.09
1/9/2017 16:00:00,77.14
1/10/2017 16:00:00,77.96
1/11/2017 16:00:00,77.81
1/12/2017 16:00:00,77.53
1/13/2017 16:00:00,77.13
1/17/2017 16:00:00,79.51
1/18/2017 16:00:00,77.31
1/19/2017 16:00:00,76.26
1/20/2017 16:00:00,76.56
1/23/2017 16:00:00,75.55
1/24/2017 16:00:00,76.88
1/25/2017 16:00:00,76.89
1/26/2017 16:00:00,76.17
1/27/2017 16:00:00,74.05
1/30/2017 16:00:00,75.25
1/31/2017 16:00:00,77.19
2/1/2017 16:00:00,76.39
2/2/2017 16:00:00,77.2
2/3/2017 16:00:00,76.69
2/6/2017 16:00:00,75.12
2/7/2017 16:00:00,75.21
2/8/2017 16:00:00,76.66
2/9/2017 16:00:00,79.39
2/10/2017 16:00:00,78.02
2/13/2017 16:00:00,77.7
2/14/2017 16:00:00,79.8
2/15/2017 16:00:00,78.74
2/16/2017 16:00:00,78
2/17/2017 16:00:00,80
2/21/2017 16:00:00,79.76
2/22/2017 16:00:00,78.54
2/23/2017 16:00:00,77.57
2/24/2017 16:00:00,79.41
2/27/2017 16:00:00,79.56
2/28/2017 16:00:00,76.68
3/1/2017 16:00:00,76.84
3/2/2017 16:00:00,77.74
3/3/2017 16:00:00,77.13
3/6/2017 16:00:00,75.93
3/7/2017 16:00:00,75.22
3/8/2017 16:00:00,75.6
3/9/2017 16:00:00,75.53
3/10/2017 16:00:00,75.06
3/13/2017 16:00:00,74.58
3/14/2017 16:00:00,74.19
3/15/2017 16:00:00,74.56
3/16/2017 16:00:00,75.53
3/17/2017 16:00:00,75.7
3/20/2017 16:00:00,74.3
3/21/2017 16:00:00,73.44
3/22/2017 16:00:00,73.98
3/23/2017 16:00:00,74.38
3/24/2017 16:00:00,74.92
3/27/2017 16:00:00,76.13
3/28/2017 16:00:00,76.55
3/29/2017 16:00:00,78.51
3/30/2017 16:00:00,79.44
3/31/2017 16:00:00,78.46
4/3/2017 16:00:00,77.72
4/4/2017 16:00:00,77.67
4/5/2017 16:00:00,77.05
4/6/2017 16:00:00,78.05
4/7/2017 16:00:00,77.61
4/10/2017 16:00:00,77.74
4/11/2017 16:00:00,77.08
4/12/2017 16:00:00,77.14
4/13/2017 16:00:00,76.46
4/17/2017 16:00:00,76.83
4/18/2017 16:00:00,77.43
4/19/2017 16:00:00,78.02
4/20/2017 16:00:00,79.57
4/21/2017 16:00:00,78.81
4/24/2017 16:00:00,79.79
4/25/2017 16:00:00,80.69
4/26/2017 16:00:00,81.73
4/27/2017 16:00:00,83.13
4/28/2017 16:00:00,82.77
5/1/2017 16:00:00,80.75
5/2/2017 16:00:00,81.7
5/3/2017 16:00:00,81.92
5/4/2017 16:00:00,81.96
5/5/2017 16:00:00,82
5/8/2017 16:00:00,82.29
5/9/2017 16:00:00,82.78
5/10/2017 16:00:00,83.02
5/11/2017 16:00:00,81.49
5/12/2017 16:00:00,81.29
5/15/2017 16:00:00,80.94
5/16/2017 16:00:00,79.1
5/17/2017 16:00:00,78.08
5/18/2017 16:00:00,79
5/19/2017 16:00:00,79.68
5/22/2017 16:00:00,80.92
5/23/2017 16:00:00,78.85
5/24/2017 16:00:00,78.08
5/25/2017 16:00:00,78.8
5/26/2017 16:00:00,78.28
5/30/2017 16:00:00,78.17
5/31/2017 16:00:00,77.7
6/1/2017 16:00:00,80.56
6/2/2017 16:00:00,80.43
6/5/2017 16:00:00,79.28
6/6/2017 16:00:00,76.88
6/7/2017 16:00:00,75.41
6/8/2017 16:00:00,74.84
6/9/2017 16:00:00,75.38
6/12/2017 16:00:00,75.35
6/13/2017 16:00:00,75.5
6/14/2017 16:00:00,75.27
6/15/2017 16:00:00,72.73
6/16/2017 16:00:00,70.07
6/19/2017 16:00:00,70.55
6/20/2017 16:00:00,68.94
6/21/2017 16:00:00,68.05
6/22/2017 16:00:00,67.68
6/23/2017 16:00:00,66.6
6/26/2017 16:00:00,68.49
6/27/2017 16:00:00,69.22
6/28/2017 16:00:00,69.97
6/29/2017 16:00:00,69.73
6/30/2017 16:00:00,69.92
7/3/2017 16:00:00,69.89
